algorithm_name,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_total,Mops_per_thread,region,Instance_name,timestamp,Ondemand_price,Spot_price
EP Benchmark,D,144.66,8,8,950.11,118.76,sa-east-1,c5.4xlarge,2024-06-11 07:56:13,1.0480000000,0.104800
EP Benchmark,D,144.27,8,8,952.68,119.09,sa-east-1,c5.4xlarge,2024-06-11 07:58:38,1.0480000000,0.104800
EP Benchmark,D,144.96,8,8,948.13,118.52,sa-east-1,c5.4xlarge,2024-06-11 08:01:04,1.0480000000,0.104800
EP Benchmark,D,144.34,8,8,952.17,119.02,sa-east-1,c5.4xlarge,2024-06-11 08:03:30,1.0480000000,0.104800
EP Benchmark,D,196.99,8,8,697.69,87.21,sa-east-1,c5.4xlarge,2024-06-11 08:06:48,1.0480000000,0.104800
EP Benchmark,D,178.13,8,8,771.59,96.45,sa-east-1,c5a.4xlarge,2024-06-11 08:50:20,0.9440000000,0.347700
EP Benchmark,D,178.51,8,8,769.92,96.24,sa-east-1,c5a.4xlarge,2024-06-11 08:53:19,0.9440000000,0.347700
EP Benchmark,D,173.75,8,8,791.02,98.88,sa-east-1,c5a.4xlarge,2024-06-11 08:56:14,0.9440000000,0.347700
EP Benchmark,D,174.24,8,8,788.77,98.60,sa-east-1,c5a.4xlarge,2024-06-11 08:59:09,0.9440000000,0.347700
EP Benchmark,D,177.51,8,8,774.28,96.78,sa-east-1,c5a.4xlarge,2024-06-11 09:02:08,0.9440000000,0.347700
EP Benchmark,D,186.99,8,8,735.01,91.88,sa-east-1,c6a.4xlarge,2024-06-11 08:11:21,0.9432000000,0.222200
EP Benchmark,D,155.58,8,8,883.41,110.43,sa-east-1,c6a.4xlarge,2024-06-11 08:13:58,0.9432000000,0.222200
EP Benchmark,D,155.79,8,8,882.18,110.27,sa-east-1,c6a.4xlarge,2024-06-11 08:16:35,0.9432000000,0.222200
EP Benchmark,D,155.65,8,8,883.00,110.38,sa-east-1,c6a.4xlarge,2024-06-11 08:19:11,0.9432000000,0.222200
EP Benchmark,D,155.91,8,8,881.54,110.19,sa-east-1,c6a.4xlarge,2024-06-11 08:21:48,0.9432000000,0.222200
EP Benchmark,D,125.20,8,8,1097.76,137.22,sa-east-1,c6i.4xlarge,2024-06-11 08:35:47,1.0480000000,0.259100
EP Benchmark,D,126.02,8,8,1090.61,136.33,sa-east-1,c6i.4xlarge,2024-06-11 08:37:54,1.0480000000,0.259100
EP Benchmark,D,125.92,8,8,1091.46,136.43,sa-east-1,c6i.4xlarge,2024-06-11 08:40:01,1.0480000000,0.259100
EP Benchmark,D,125.56,8,8,1094.62,136.83,sa-east-1,c6i.4xlarge,2024-06-11 08:42:07,1.0480000000,0.259100
EP Benchmark,D,196.14,8,8,700.72,87.59,sa-east-1,c6i.4xlarge,2024-06-11 08:45:25,1.0480000000,0.259100
EP Benchmark,D,104.98,8,8,1309.17,163.65,sa-east-1,c7i.4xlarge,2024-06-11 08:24:30,1.1004000000,0.174600
EP Benchmark,D,104.78,8,8,1311.72,163.96,sa-east-1,c7i.4xlarge,2024-06-11 08:26:16,1.1004000000,0.174600
EP Benchmark,D,111.60,8,8,1231.52,153.94,sa-east-1,c7i.4xlarge,2024-06-11 08:28:08,1.1004000000,0.174600
EP Benchmark,D,109.13,8,8,1259.37,157.42,sa-east-1,c7i.4xlarge,2024-06-11 08:29:59,1.1004000000,0.174600
EP Benchmark,D,105.13,8,8,1307.28,163.41,sa-east-1,c7i.4xlarge,2024-06-11 08:31:45,1.1004000000,0.174600
EP Benchmark,D,62.06,24,24,2214.58,92.27,us-east-1,c5.12xlarge,2024-06-11 08:01:03,2.0400000000,0.903400
EP Benchmark,D,45.66,24,24,3010.19,125.42,us-east-1,c5.12xlarge,2024-06-11 08:01:51,2.0400000000,0.903400
EP Benchmark,D,63.18,24,24,2175.34,90.64,us-east-1,c5.12xlarge,2024-06-11 08:02:56,2.0400000000,0.903400
EP Benchmark,D,63.25,24,24,2173.01,90.54,us-east-1,c5.12xlarge,2024-06-11 08:04:01,2.0400000000,0.903400
EP Benchmark,D,47.28,24,24,2907.11,121.13,us-east-1,c5.12xlarge,2024-06-11 08:04:51,2.0400000000,0.903400
EP Benchmark,D,58.55,24,24,2347.53,97.81,us-east-1,c5a.12xlarge,2024-06-11 07:54:45,1.8480000000,0.935600
EP Benchmark,D,58.39,24,24,2353.94,98.08,us-east-1,c5a.12xlarge,2024-06-11 07:55:46,1.8480000000,0.935600
EP Benchmark,D,58.04,24,24,2368.18,98.67,us-east-1,c5a.12xlarge,2024-06-11 07:56:46,1.8480000000,0.935600
EP Benchmark,D,56.67,24,24,2425.13,101.05,us-east-1,c5a.12xlarge,2024-06-11 07:57:45,1.8480000000,0.935600
EP Benchmark,D,58.03,24,24,2368.59,98.69,us-east-1,c5a.12xlarge,2024-06-11 07:58:45,1.8480000000,0.935600
EP Benchmark,D,58.11,24,24,2365.04,98.54,us-east-1,c5a.16xlarge,2024-06-11 08:26:57,2.4640000000,1.329300
EP Benchmark,D,58.32,24,24,2356.77,98.20,us-east-1,c5a.16xlarge,2024-06-11 08:27:57,2.4640000000,1.329300
