algorithm_name,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_total,Mops_per_thread,region,Instance_name,timestamp,Ondemand_price,Spot_price
EP Benchmark,D,144.66,8,8,950.11,118.76,sa-east-1,c5.4xlarge,2024-06-11 07:56:13,1.0480000000,0.104800
EP Benchmark,D,144.27,8,8,952.68,119.09,sa-east-1,c5.4xlarge,2024-06-11 07:58:38,1.0480000000,0.104800
EP Benchmark,D,144.96,8,8,948.13,118.52,sa-east-1,c5.4xlarge,2024-06-11 08:01:04,1.0480000000,0.104800
EP Benchmark,D,144.34,8,8,952.17,119.02,sa-east-1,c5.4xlarge,2024-06-11 08:03:30,1.0480000000,0.104800
EP Benchmark,D,196.99,8,8,697.69,87.21,sa-east-1,c5.4xlarge,2024-06-11 08:06:48,1.0480000000,0.104800
EP Benchmark,D,197.32,8,8,696.53,87.07,sa-east-1,c5.4xlarge,2024-06-11 10:10:22,1.0480000000,0.104800
EP Benchmark,D,145.03,8,8,947.67,118.46,sa-east-1,c5.4xlarge,2024-06-11 10:12:48,1.0480000000,0.104800
EP Benchmark,D,144.86,8,8,948.77,118.60,sa-east-1,c5.4xlarge,2024-06-11 10:15:14,1.0480000000,0.104800
EP Benchmark,D,197.39,8,8,696.27,87.03,sa-east-1,c5.4xlarge,2024-06-11 10:18:33,1.0480000000,0.104800
EP Benchmark,D,144.70,8,8,949.81,118.73,sa-east-1,c5.4xlarge,2024-06-11 10:20:58,1.0480000000,0.104800
EP Benchmark,D,178.13,8,8,771.59,96.45,sa-east-1,c5a.4xlarge,2024-06-11 08:50:20,0.9440000000,0.347700
EP Benchmark,D,178.51,8,8,769.92,96.24,sa-east-1,c5a.4xlarge,2024-06-11 08:53:19,0.9440000000,0.347700
EP Benchmark,D,173.75,8,8,791.02,98.88,sa-east-1,c5a.4xlarge,2024-06-11 08:56:14,0.9440000000,0.347700
EP Benchmark,D,174.24,8,8,788.77,98.60,sa-east-1,c5a.4xlarge,2024-06-11 08:59:09,0.9440000000,0.347700
EP Benchmark,D,177.51,8,8,774.28,96.78,sa-east-1,c5a.4xlarge,2024-06-11 09:02:08,0.9440000000,0.347700
EP Benchmark,D,174.66,8,8,786.89,98.36,sa-east-1,c5a.4xlarge,2024-06-11 11:07:49,0.9440000000,0.390800
EP Benchmark,D,173.98,8,8,789.98,98.75,sa-east-1,c5a.4xlarge,2024-06-11 11:10:44,0.9440000000,0.390800
EP Benchmark,D,174.42,8,8,787.98,98.50,sa-east-1,c5a.4xlarge,2024-06-11 11:13:40,0.9440000000,0.390800
EP Benchmark,D,174.17,8,8,789.12,98.64,sa-east-1,c5a.4xlarge,2024-06-11 11:16:35,0.9440000000,0.390800
EP Benchmark,D,175.32,8,8,783.95,97.99,sa-east-1,c5a.4xlarge,2024-06-11 11:19:31,0.9440000000,0.390800
EP Benchmark,D,186.99,8,8,735.01,91.88,sa-east-1,c6a.4xlarge,2024-06-11 08:11:21,0.9432000000,0.222200
EP Benchmark,D,155.58,8,8,883.41,110.43,sa-east-1,c6a.4xlarge,2024-06-11 08:13:58,0.9432000000,0.222200
EP Benchmark,D,155.79,8,8,882.18,110.27,sa-east-1,c6a.4xlarge,2024-06-11 08:16:35,0.9432000000,0.222200
EP Benchmark,D,155.65,8,8,883.00,110.38,sa-east-1,c6a.4xlarge,2024-06-11 08:19:11,0.9432000000,0.222200
EP Benchmark,D,155.91,8,8,881.54,110.19,sa-east-1,c6a.4xlarge,2024-06-11 08:21:48,0.9432000000,0.222200
EP Benchmark,D,155.62,8,8,883.15,110.39,sa-east-1,c6a.4xlarge,2024-06-11 10:25:31,0.9432000000,0.222200
EP Benchmark,D,155.47,8,8,884.05,110.51,sa-east-1,c6a.4xlarge,2024-06-11 10:28:07,0.9432000000,0.222200
EP Benchmark,D,191.53,8,8,717.57,89.70,sa-east-1,c6a.4xlarge,2024-06-11 10:31:20,0.9432000000,0.222200
EP Benchmark,D,156.58,8,8,877.73,109.72,sa-east-1,c6a.4xlarge,2024-06-11 10:33:58,0.9432000000,0.222200
EP Benchmark,D,156.04,8,8,880.78,110.10,sa-east-1,c6a.4xlarge,2024-06-11 10:36:35,0.9432000000,0.222200
EP Benchmark,D,201.60,8,8,681.73,85.22,sa-east-1,c6g.4xlarge,2024-06-11 11:24:41,0.8384000000,0.085100
EP Benchmark,D,201.67,8,8,681.52,85.19,sa-east-1,c6g.4xlarge,2024-06-11 11:28:04,0.8384000000,0.085100
EP Benchmark,D,201.67,8,8,681.51,85.19,sa-east-1,c6g.4xlarge,2024-06-11 11:31:27,0.8384000000,0.085100
EP Benchmark,D,201.69,8,8,681.45,85.18,sa-east-1,c6g.4xlarge,2024-06-11 11:34:50,0.8384000000,0.085100
EP Benchmark,D,201.74,8,8,681.28,85.16,sa-east-1,c6g.4xlarge,2024-06-11 11:38:12,0.8384000000,0.085100
EP Benchmark,D,125.20,8,8,1097.76,137.22,sa-east-1,c6i.4xlarge,2024-06-11 08:35:47,1.0480000000,0.259100
EP Benchmark,D,126.02,8,8,1090.61,136.33,sa-east-1,c6i.4xlarge,2024-06-11 08:37:54,1.0480000000,0.259100
