algorithm_name,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_total,Mops_per_thread,region,Instance_name,timestamp,Ondemand_price,Spot_price
EP Benchmark,D,38.41,48,48,3578.53,74.55,sa-east-1,c5a.12xlarge,2024-06-11 22:22:20.232915,2.8320000000,
EP Benchmark,D,38.34,48,48,3584.81,74.68,sa-east-1,c5a.12xlarge,2024-06-11 22:22:58.941606,2.8320000000,
EP Benchmark,D,38.53,48,48,3567.49,74.32,sa-east-1,c5a.12xlarge,2024-06-11 22:23:37.839742,2.8320000000,
EP Benchmark,D,38.31,48,48,3587.72,74.74,sa-east-1,c5a.12xlarge,2024-06-11 22:24:16.528140,2.8320000000,
EP Benchmark,D,39.44,48,48,3485.09,72.61,sa-east-1,c5a.12xlarge,2024-06-11 22:24:56.327424,2.8320000000,
EP Benchmark,D,40.20,48,48,3418.60,71.22,sa-east-1,c5.12xlarge,2024-06-11 22:27:16.183530,3.1440000000,
EP Benchmark,D,40.04,48,48,3432.78,71.52,sa-east-1,c5.12xlarge,2024-06-11 22:27:56.558273,3.1440000000,
EP Benchmark,D,39.67,48,48,3464.52,72.18,sa-east-1,c5.12xlarge,2024-06-11 22:28:36.576524,3.1440000000,
EP Benchmark,D,40.02,48,48,3434.59,71.55,sa-east-1,c5.12xlarge,2024-06-11 22:29:16.936282,3.1440000000,
EP Benchmark,D,41.16,48,48,3338.74,69.56,sa-east-1,c5.12xlarge,2024-06-11 22:29:58.436461,3.1440000000,
EP Benchmark,D,34.72,48,48,3958.61,82.47,sa-east-1,c6a.12xlarge,2024-06-11 22:31:43.183280,2.8296000000,
EP Benchmark,D,34.51,48,48,3982.84,82.98,sa-east-1,c6a.12xlarge,2024-06-11 22:32:18.108712,2.8296000000,
EP Benchmark,D,34.62,48,48,3970.42,82.72,sa-east-1,c6a.12xlarge,2024-06-11 22:32:53.102899,2.8296000000,
EP Benchmark,D,34.56,48,48,3976.80,82.85,sa-east-1,c6a.12xlarge,2024-06-11 22:33:28.056223,2.8296000000,
EP Benchmark,D,34.57,48,48,3976.05,82.83,sa-east-1,c6a.12xlarge,2024-06-11 22:34:02.997744,2.8296000000,
EP Benchmark,D,34.43,48,48,3991.59,83.16,sa-east-1,c7i.12xlarge,2024-06-11 22:36:01.684722,3.3012000000,
EP Benchmark,D,33.84,48,48,4060.93,84.60,sa-east-1,c7i.12xlarge,2024-06-11 22:36:35.875171,3.3012000000,
EP Benchmark,D,33.61,48,48,4089.16,85.19,sa-east-1,c7i.12xlarge,2024-06-11 22:37:09.823402,3.3012000000,
EP Benchmark,D,35.26,48,48,3897.36,81.20,sa-east-1,c7i.12xlarge,2024-06-11 22:37:45.434654,3.3012000000,
EP Benchmark,D,33.83,48,48,4062.43,84.63,sa-east-1,c7i.12xlarge,2024-06-11 22:38:19.612280,3.3012000000,
EP Benchmark,D,36.49,48,48,3766.32,78.47,sa-east-1,c6i.12xlarge,2024-06-11 22:40:20.652072,3.1440000000,
EP Benchmark,D,36.15,48,48,3802.00,79.21,sa-east-1,c6i.12xlarge,2024-06-11 22:40:57.141263,3.1440000000,
EP Benchmark,D,36.07,48,48,3810.21,79.38,sa-east-1,c6i.12xlarge,2024-06-11 22:41:33.573740,3.1440000000,
EP Benchmark,D,36.07,48,48,3810.42,79.38,sa-east-1,c6i.12xlarge,2024-06-11 22:42:10.001032,3.1440000000,
EP Benchmark,D,36.17,48,48,3799.85,79.16,sa-east-1,c6i.12xlarge,2024-06-11 22:42:46.503476,3.1440000000,
EP Benchmark,D,28.68,64,64,4792.78,74.89,sa-east-1,c6i.16xlarge,2024-06-11 22:44:55.541488,4.1920000000,
EP Benchmark,D,28.72,64,64,4786.18,74.78,sa-east-1,c6i.16xlarge,2024-06-11 22:45:24.609887,4.1920000000,
EP Benchmark,D,28.56,64,64,4812.66,75.20,sa-east-1,c6i.16xlarge,2024-06-11 22:45:53.504339,4.1920000000,
EP Benchmark,D,28.03,64,64,4903.44,76.62,sa-east-1,c6i.16xlarge,2024-06-11 22:46:21.866937,4.1920000000,
EP Benchmark,D,28.34,64,64,4849.61,75.78,sa-east-1,c6i.16xlarge,2024-06-11 22:46:50.565106,4.1920000000,
EP Benchmark,D,29.66,64,64,4634.48,72.41,sa-east-1,c5a.16xlarge,2024-06-11 22:48:44.345963,3.7760000000,
EP Benchmark,D,28.85,64,64,4763.91,74.44,sa-east-1,c5a.16xlarge,2024-06-11 22:49:13.570628,3.7760000000,
EP Benchmark,D,29.51,64,64,4657.21,72.77,sa-east-1,c5a.16xlarge,2024-06-11 22:49:43.480741,3.7760000000,
EP Benchmark,D,28.75,64,64,4780.79,74.70,sa-east-1,c5a.16xlarge,2024-06-11 22:50:12.621645,3.7760000000,
EP Benchmark,D,28.76,64,64,4779.30,74.68,sa-east-1,c5a.16xlarge,2024-06-11 22:50:41.765722,3.7760000000,
EP Benchmark,D,22.97,64,64,5984.05,93.50,sa-east-1,c7i.16xlarge,2024-06-11 22:52:30.657911,4.4016000000,
EP Benchmark,D,22.97,64,64,5984.58,93.51,sa-east-1,c7i.16xlarge,2024-06-11 22:52:53.964691,4.4016000000,
EP Benchmark,D,22.94,64,64,5991.66,93.62,sa-east-1,c7i.16xlarge,2024-06-11 22:53:17.239082,4.4016000000,
EP Benchmark,D,22.87,64,64,6010.38,93.91,sa-east-1,c7i.16xlarge,2024-06-11 22:53:40.454603,4.4016000000,
EP Benchmark,D,22.92,64,64,5995.28,93.68,sa-east-1,c7i.16xlarge,2024-06-11 22:54:03.726345,4.4016000000,
EP Benchmark,D,26.55,64,64,5175.95,80.87,sa-east-1,c6a.16xlarge,2024-06-11 22:55:55.315965,3.7728000000,
EP Benchmark,D,26.15,64,64,5256.15,82.13,sa-east-1,c6a.16xlarge,2024-06-11 22:56:21.885690,3.7728000000,
EP Benchmark,D,26.13,64,64,5260.71,82.20,sa-east-1,c6a.16xlarge,2024-06-11 22:56:48.426410,3.7728000000,
EP Benchmark,D,26.23,64,64,5239.86,81.87,sa-east-1,c6a.16xlarge,2024-06-11 22:57:15.022823,3.7728000000,
EP Benchmark,D,26.18,64,64,5249.51,82.02,sa-east-1,c6a.16xlarge,2024-06-11 22:57:41.585259,3.7728000000,
EP Benchmark,D,50.76,32,32,2707.72,84.62,sa-east-1,c6g.8xlarge,2024-06-11 22:59:54.501502,1.6768000000,
EP Benchmark,D,50.48,32,32,2722.63,85.08,sa-east-1,c6g.8xlarge,2024-06-11 23:00:45.332660,1.6768000000,
EP Benchmark,D,50.47,32,32,2722.99,85.09,sa-east-1,c6g.8xlarge,2024-06-11 23:01:36.159433,1.6768000000,
EP Benchmark,D,50.46,32,32,2723.49,85.11,sa-east-1,c6g.8xlarge,2024-06-11 23:02:26.982233,1.6768000000,
EP Benchmark,D,50.51,32,32,2720.87,85.03,sa-east-1,c6g.8xlarge,2024-06-11 23:03:17.851571,1.6768000000,
