algorithm_name,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_total,Mops_per_thread,region,Instance_name,timestamp,Ondemand_price,Spot_price
EP Benchmark,D,38.47,48,48,3572.31,74.42,us-east-1,c5a.12xlarge,2024-06-12 07:52:50.179459,1.8480000000,0.883500
EP Benchmark,D,38.26,48,48,3592.39,74.84,us-east-1,c5a.12xlarge,2024-06-12 07:53:30.427098,1.8480000000,0.883500
EP Benchmark,D,38.24,48,48,3593.93,74.87,us-east-1,c5a.12xlarge,2024-06-12 07:54:10.666792,1.8480000000,0.883500
EP Benchmark,D,38.44,48,48,3575.39,74.49,us-east-1,c5a.12xlarge,2024-06-12 07:54:51.218156,1.8480000000,0.883500
EP Benchmark,D,38.31,48,48,3587.79,74.75,us-east-1,c5a.12xlarge,2024-06-12 07:55:31.870591,1.8480000000,0.883500
EP Benchmark,D,41.28,48,48,3329.62,69.37,us-east-1,c5.12xlarge,2024-06-12 07:57:28.094809,2.0400000000,0.905500
EP Benchmark,D,41.65,48,48,3299.79,68.75,us-east-1,c5.12xlarge,2024-06-12 07:58:11.716877,2.0400000000,0.905500
EP Benchmark,D,41.33,48,48,3325.69,69.29,us-east-1,c5.12xlarge,2024-06-12 07:58:55.647503,2.0400000000,0.905500
EP Benchmark,D,41.74,48,48,3292.50,68.59,us-east-1,c5.12xlarge,2024-06-12 07:59:39.474350,2.0400000000,0.905500
EP Benchmark,D,42.00,48,48,3272.62,68.18,us-east-1,c5.12xlarge,2024-06-12 08:00:23.403753,2.0400000000,0.905500
EP Benchmark,D,36.54,48,48,3761.64,78.37,us-east-1,c6a.12xlarge,2024-06-12 08:02:30.585687,1.8360000000,0.840700
EP Benchmark,D,34.50,48,48,3983.45,82.99,us-east-1,c6a.12xlarge,2024-06-12 08:03:08.212021,1.8360000000,0.840700
EP Benchmark,D,34.50,48,48,3983.40,82.99,us-east-1,c6a.12xlarge,2024-06-12 08:03:44.331253,1.8360000000,0.840700
EP Benchmark,D,34.50,48,48,3983.54,82.99,us-east-1,c6a.12xlarge,2024-06-12 08:04:20.953269,1.8360000000,0.840700
EP Benchmark,D,34.52,48,48,3981.19,82.94,us-east-1,c6a.12xlarge,2024-06-12 08:04:57.163922,1.8360000000,0.840700
EP Benchmark,D,33.38,48,48,4117.44,85.78,us-east-1,c7i.12xlarge,2024-06-12 08:07:29.931368,2.1420000000,0.941300
EP Benchmark,D,33.09,48,48,4153.48,86.53,us-east-1,c7i.12xlarge,2024-06-12 08:08:04.980042,2.1420000000,0.941300
EP Benchmark,D,32.83,48,48,4186.00,87.21,us-east-1,c7i.12xlarge,2024-06-12 08:08:39.657162,2.1420000000,0.941300
EP Benchmark,D,32.86,48,48,4182.70,87.14,us-east-1,c7i.12xlarge,2024-06-12 08:09:14.552155,2.1420000000,0.941300
EP Benchmark,D,32.87,48,48,4180.72,87.10,us-east-1,c7i.12xlarge,2024-06-12 08:09:50.003131,2.1420000000,0.941300
EP Benchmark,D,35.79,48,48,3840.42,80.01,us-east-1,c6i.12xlarge,2024-06-12 08:11:56.421465,2.0400000000,0.922300
EP Benchmark,D,36.16,48,48,3801.02,79.19,us-east-1,c6i.12xlarge,2024-06-12 08:12:34.973491,2.0400000000,0.922300
EP Benchmark,D,35.86,48,48,3833.02,79.85,us-east-1,c6i.12xlarge,2024-06-12 08:13:14.626512,2.0400000000,0.922300
EP Benchmark,D,36.33,48,48,3783.32,78.82,us-east-1,c6i.12xlarge,2024-06-12 08:13:53.235179,2.0400000000,0.922300
EP Benchmark,D,35.78,48,48,3841.12,80.02,us-east-1,c6i.12xlarge,2024-06-12 08:14:30.960339,2.0400000000,0.922300
EP Benchmark,D,27.22,64,64,5048.75,78.89,us-east-1,c6i.16xlarge,2024-06-12 08:16:13.167548,2.7200000000,1.342200
EP Benchmark,D,27.22,64,64,5049.15,78.89,us-east-1,c6i.16xlarge,2024-06-12 08:16:42.458313,2.7200000000,1.342200
EP Benchmark,D,27.29,64,64,5035.32,78.68,us-east-1,c6i.16xlarge,2024-06-12 08:17:11.644432,2.7200000000,1.342200
EP Benchmark,D,27.40,64,64,5015.49,78.37,us-east-1,c6i.16xlarge,2024-06-12 08:17:41.134308,2.7200000000,1.342200
EP Benchmark,D,27.89,64,64,4927.21,76.99,us-east-1,c6i.16xlarge,2024-06-12 08:18:13.184608,2.7200000000,1.342200
EP Benchmark,D,29.53,64,64,4654.87,72.73,us-east-1,c5a.16xlarge,2024-06-12 08:20:29.294580,2.4640000000,1.248100
EP Benchmark,D,28.75,64,64,4780.22,74.69,us-east-1,c5a.16xlarge,2024-06-12 08:21:00.430539,2.4640000000,1.248100
EP Benchmark,D,28.73,64,64,4783.50,74.74,us-east-1,c5a.16xlarge,2024-06-12 08:21:31.435903,2.4640000000,1.248100
EP Benchmark,D,28.69,64,64,4790.11,74.85,us-east-1,c5a.16xlarge,2024-06-12 08:22:02.029502,2.4640000000,1.248100
EP Benchmark,D,28.71,64,64,4786.45,74.79,us-east-1,c5a.16xlarge,2024-06-12 08:22:32.837819,2.4640000000,1.248100
EP Benchmark,D,26.38,64,64,5209.01,81.39,us-east-1,c7a.16xlarge,2024-06-12 08:24:27.300854,3.2844800000,1.527100
EP Benchmark,D,26.03,64,64,5280.54,82.51,us-east-1,c7a.16xlarge,2024-06-12 08:24:55.767631,3.2844800000,1.527100
EP Benchmark,D,26.49,64,64,5187.37,81.05,us-east-1,c7a.16xlarge,2024-06-12 08:25:24.274069,3.2844800000,1.527100
EP Benchmark,D,26.14,64,64,5256.98,82.14,us-east-1,c7a.16xlarge,2024-06-12 08:25:52.603677,3.2844800000,1.527100
EP Benchmark,D,26.46,64,64,5195.17,81.17,us-east-1,c7a.16xlarge,2024-06-12 08:26:20.974410,3.2844800000,1.527100
EP Benchmark,D,24.21,64,64,5676.91,88.70,us-east-1,c7i.16xlarge,2024-06-12 08:28:40.359426,2.8560000000,1.209500
EP Benchmark,D,23.75,64,64,5787.82,90.43,us-east-1,c7i.16xlarge,2024-06-12 08:29:06.166215,2.8560000000,1.209500
EP Benchmark,D,23.81,64,64,5772.77,90.20,us-east-1,c7i.16xlarge,2024-06-12 08:29:32.077355,2.8560000000,1.209500
EP Benchmark,D,23.80,64,64,5774.17,90.22,us-east-1,c7i.16xlarge,2024-06-12 08:29:57.369915,2.8560000000,1.209500
EP Benchmark,D,23.83,64,64,5767.00,90.11,us-east-1,c7i.16xlarge,2024-06-12 08:30:23.674257,2.8560000000,1.209500
EP Benchmark,D,26.34,64,64,5218.14,81.53,us-east-1,c6a.16xlarge,2024-06-12 08:32:05.161266,2.4480000000,1.190200
EP Benchmark,D,25.93,64,64,5299.59,82.81,us-east-1,c6a.16xlarge,2024-06-12 08:32:33.899376,2.4480000000,1.190200
EP Benchmark,D,25.96,64,64,5293.42,82.71,us-east-1,c6a.16xlarge,2024-06-12 08:33:02.313235,2.4480000000,1.190200
EP Benchmark,D,25.92,64,64,5303.41,82.87,us-east-1,c6a.16xlarge,2024-06-12 08:33:30.476959,2.4480000000,1.190200
EP Benchmark,D,25.94,64,64,5299.25,82.80,us-east-1,c6a.16xlarge,2024-06-12 08:33:58.533588,2.4480000000,1.190200
EP Benchmark,D,50.38,32,32,2728.24,85.26,us-east-1,c6g.8xlarge,2024-06-12 08:36:34.287580,1.0880000000,0.448600
EP Benchmark,D,50.47,32,32,2722.93,85.09,us-east-1,c6g.8xlarge,2024-06-12 08:37:27.119156,1.0880000000,0.448600
EP Benchmark,D,50.44,32,32,2724.78,85.15,us-east-1,c6g.8xlarge,2024-06-12 08:38:19.754230,1.0880000000,0.448600
EP Benchmark,D,50.44,32,32,2724.98,85.16,us-east-1,c6g.8xlarge,2024-06-12 08:39:12.283824,1.0880000000,0.448600
EP Benchmark,D,50.47,32,32,2723.15,85.10,us-east-1,c6g.8xlarge,2024-06-12 08:40:04.713500,1.0880000000,0.448600
EP Benchmark,D,33.66,32,32,4083.45,127.61,us-east-1,c7g.8xlarge,2024-06-12 08:42:08.927550,1.1600000000,0.554600
EP Benchmark,D,33.62,32,32,4088.13,127.75,us-east-1,c7g.8xlarge,2024-06-12 08:42:44.561521,1.1600000000,0.554600
EP Benchmark,D,33.64,32,32,4085.77,127.68,us-east-1,c7g.8xlarge,2024-06-12 08:43:20.186136,1.1600000000,0.554600
EP Benchmark,D,33.63,32,32,4086.99,127.72,us-east-1,c7g.8xlarge,2024-06-12 08:43:55.423606,1.1600000000,0.554600
EP Benchmark,D,33.62,32,32,4087.81,127.74,us-east-1,c7g.8xlarge,2024-06-12 08:44:31.061029,1.1600000000,0.554600
