algorithm_name,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_total,Mops_per_thread,region,Instance_name,timestamp,Ondemand_price,Spot_price,STATUS
EP Benchmark,,,,,,,sa-east-1a,c7a.12xlarge,2024-06-14 11:49:41.408283,,,Unsupported
EP Benchmark,D,33.46,48,48,4107.63,85.58,sa-east-1a,c6g.12xlarge,2024-06-14 11:50:38.586159,2.5152000000,0.251500,SUCCESS
EP Benchmark,D,33.70,48,48,4078.09,84.96,sa-east-1a,c6g.12xlarge,2024-06-14 11:51:12.624105,2.5152000000,0.251500,SUCCESS
EP Benchmark,D,33.70,48,48,4078.79,84.97,sa-east-1a,c6g.12xlarge,2024-06-14 11:51:46.660218,2.5152000000,0.251500,SUCCESS
EP Benchmark,D,33.69,48,48,4079.74,84.99,sa-east-1a,c6g.12xlarge,2024-06-14 11:52:20.680144,2.5152000000,0.251500,SUCCESS
EP Benchmark,D,33.70,48,48,4078.33,84.97,sa-east-1a,c6g.12xlarge,2024-06-14 11:52:54.708966,2.5152000000,0.251500,SUCCESS
EP Benchmark,,,,,,,sa-east-1a,c7g.12xlarge,2024-06-14 11:54:29.119963,,,Unsupported
EP Benchmark,D,39.09,48,48,3516.33,73.26,sa-east-1a,c5a.12xlarge,2024-06-14 11:55:31.521361,2.8320000000,0.371200,SUCCESS
EP Benchmark,D,38.35,48,48,3583.53,74.66,sa-east-1a,c5a.12xlarge,2024-06-14 11:56:10.231889,2.8320000000,0.371200,SUCCESS
EP Benchmark,D,38.37,48,48,3582.01,74.63,sa-east-1a,c5a.12xlarge,2024-06-14 11:56:48.995102,2.8320000000,0.371200,SUCCESS
EP Benchmark,D,38.51,48,48,3568.98,74.35,sa-east-1a,c5a.12xlarge,2024-06-14 11:57:27.884110,2.8320000000,0.371200,SUCCESS
EP Benchmark,D,38.39,48,48,3580.29,74.59,sa-east-1a,c5a.12xlarge,2024-06-14 11:58:06.638337,2.8320000000,0.371200,SUCCESS
EP Benchmark,D,40.43,48,48,3399.44,70.82,sa-east-1a,c5.12xlarge,2024-06-14 12:00:26.796122,3.1440000000,1.004600,SUCCESS
EP Benchmark,D,39.82,48,48,3451.49,71.91,sa-east-1a,c5.12xlarge,2024-06-14 12:01:06.964862,3.1440000000,1.004600,SUCCESS
EP Benchmark,D,38.64,48,48,3556.95,74.10,sa-east-1a,c5.12xlarge,2024-06-14 12:01:45.942654,3.1440000000,1.004600,SUCCESS
EP Benchmark,D,39.81,48,48,3452.15,71.92,sa-east-1a,c5.12xlarge,2024-06-14 12:02:26.100934,3.1440000000,1.004600,SUCCESS
EP Benchmark,D,40.06,48,48,3431.14,71.48,sa-east-1a,c5.12xlarge,2024-06-14 12:03:06.500527,3.1440000000,1.004600,SUCCESS
EP Benchmark,D,35.76,48,48,3843.07,80.06,sa-east-1a,c6a.12xlarge,2024-06-14 12:05:07.608280,2.8296000000,1.243900,SUCCESS
EP Benchmark,D,35.72,48,48,3847.85,80.16,sa-east-1a,c6a.12xlarge,2024-06-14 12:05:43.668664,2.8296000000,1.243900,SUCCESS
EP Benchmark,D,35.80,48,48,3838.55,79.97,sa-east-1a,c6a.12xlarge,2024-06-14 12:06:19.851054,2.8296000000,1.243900,SUCCESS
EP Benchmark,D,35.96,48,48,3821.60,79.62,sa-east-1a,c6a.12xlarge,2024-06-14 12:06:56.183549,2.8296000000,1.243900,SUCCESS
EP Benchmark,D,35.98,48,48,3819.80,79.58,sa-east-1a,c6a.12xlarge,2024-06-14 12:07:32.510951,2.8296000000,1.243900,SUCCESS
EP Benchmark,D,33.37,48,48,4118.99,85.81,sa-east-1a,c7i.12xlarge,2024-06-14 12:09:00.005448,3.3012000000,0.330100,SUCCESS
EP Benchmark,D,32.68,48,48,4205.79,87.62,sa-east-1a,c7i.12xlarge,2024-06-14 12:09:33.015998,3.3012000000,0.330100,SUCCESS
EP Benchmark,D,32.68,48,48,4205.60,87.62,sa-east-1a,c7i.12xlarge,2024-06-14 12:10:06.039959,3.3012000000,0.330100,SUCCESS
EP Benchmark,D,32.69,48,48,4204.64,87.60,sa-east-1a,c7i.12xlarge,2024-06-14 12:10:39.056978,3.3012000000,0.330100,SUCCESS
EP Benchmark,D,32.87,48,48,4181.29,87.11,sa-east-1a,c7i.12xlarge,2024-06-14 12:11:12.268685,3.3012000000,0.330100,SUCCESS
EP Benchmark,D,37.79,48,48,3637.16,75.77,sa-east-1a,c6i.12xlarge,2024-06-14 12:12:43.919934,3.1440000000,1.190200,SUCCESS
