algorithm_name,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_total,Mops_per_thread,region,Instance_name,timestamp,Ondemand_price,Spot_price,STATUS
EP Benchmark,D,33.31,48,48,4126.26,85.96,us-east-1d,c7a.12xlarge,2024-06-14 11:51:14.931689,2.4633600000,1.195600,SUCCESS
EP Benchmark,D,33.48,48,48,4105.64,85.53,us-east-1d,c7a.12xlarge,2024-06-14 11:51:49.893912,2.4633600000,1.195600,SUCCESS
EP Benchmark,D,33.09,48,48,4152.92,86.52,us-east-1d,c7a.12xlarge,2024-06-14 11:52:24.464551,2.4633600000,1.195600,SUCCESS
EP Benchmark,D,33.21,48,48,4138.56,86.22,us-east-1d,c7a.12xlarge,2024-06-14 11:52:59.244158,2.4633600000,1.195600,SUCCESS
EP Benchmark,D,33.35,48,48,4121.03,85.85,us-east-1d,c7a.12xlarge,2024-06-14 11:53:34.060358,2.4633600000,1.195600,SUCCESS
EP Benchmark,D,33.72,48,48,4075.60,84.91,us-east-1a,c6g.12xlarge,2024-06-14 11:55:21.303391,1.6320000000,0.752000,SUCCESS
EP Benchmark,D,33.67,48,48,4081.74,85.04,us-east-1a,c6g.12xlarge,2024-06-14 11:55:56.425527,1.6320000000,0.752000,SUCCESS
EP Benchmark,D,33.71,48,48,4076.61,84.93,us-east-1a,c6g.12xlarge,2024-06-14 11:56:31.618130,1.6320000000,0.752000,SUCCESS
EP Benchmark,D,33.69,48,48,4079.09,84.98,us-east-1a,c6g.12xlarge,2024-06-14 11:57:06.802903,1.6320000000,0.752000,SUCCESS
EP Benchmark,D,33.67,48,48,4081.49,85.03,us-east-1a,c6g.12xlarge,2024-06-14 11:57:41.944979,1.6320000000,0.752000,SUCCESS
EP Benchmark,D,22.46,48,48,6119.68,127.49,us-east-1a,c7g.12xlarge,2024-06-14 11:59:17.424033,1.7400000000,0.774000,SUCCESS
EP Benchmark,D,22.45,48,48,6123.16,127.57,us-east-1a,c7g.12xlarge,2024-06-14 11:59:41.347650,1.7400000000,0.774000,SUCCESS
EP Benchmark,D,22.43,48,48,6126.83,127.64,us-east-1a,c7g.12xlarge,2024-06-14 12:00:05.396164,1.7400000000,0.774000,SUCCESS
EP Benchmark,D,22.44,48,48,6124.48,127.59,us-east-1a,c7g.12xlarge,2024-06-14 12:00:29.438139,1.7400000000,0.774000,SUCCESS
EP Benchmark,D,22.43,48,48,6128.12,127.67,us-east-1a,c7g.12xlarge,2024-06-14 12:00:53.512247,1.7400000000,0.774000,SUCCESS
EP Benchmark,D,38.85,48,48,3537.52,73.70,us-east-1a,c5a.12xlarge,2024-06-14 12:03:16.630434,1.8480000000,0.887200,SUCCESS
EP Benchmark,D,38.43,48,48,3576.38,74.51,us-east-1a,c5a.12xlarge,2024-06-14 12:03:56.644764,1.8480000000,0.887200,SUCCESS
EP Benchmark,D,38.24,48,48,3594.43,74.88,us-east-1a,c5a.12xlarge,2024-06-14 12:04:36.374470,1.8480000000,0.887200,SUCCESS
EP Benchmark,D,38.48,48,48,3571.86,74.41,us-east-1a,c5a.12xlarge,2024-06-14 12:05:16.461482,1.8480000000,0.887200,SUCCESS
EP Benchmark,D,38.35,48,48,3583.65,74.66,us-east-1a,c5a.12xlarge,2024-06-14 12:05:56.297847,1.8480000000,0.887200,SUCCESS
EP Benchmark,D,39.94,48,48,3441.12,71.69,us-east-1a,c5.12xlarge,2024-06-14 12:08:04.914968,2.0400000000,0.894200,SUCCESS
EP Benchmark,D,39.76,48,48,3456.74,72.02,us-east-1a,c5.12xlarge,2024-06-14 12:08:46.120976,2.0400000000,0.894200,SUCCESS
EP Benchmark,D,40.24,48,48,3415.36,71.15,us-east-1a,c5.12xlarge,2024-06-14 12:09:27.875378,2.0400000000,0.894200,SUCCESS
EP Benchmark,D,40.20,48,48,3419.07,71.23,us-east-1a,c5.12xlarge,2024-06-14 12:10:09.583323,2.0400000000,0.894200,SUCCESS
EP Benchmark,D,41.96,48,48,3275.77,68.25,us-east-1a,c5.12xlarge,2024-06-14 12:10:53.040076,2.0400000000,0.894200,SUCCESS
EP Benchmark,D,35.13,48,48,3912.67,81.51,us-east-1a,c6a.12xlarge,2024-06-14 12:12:25.834559,1.8360000000,0.834800,SUCCESS
EP Benchmark,D,34.53,48,48,3979.98,82.92,us-east-1a,c6a.12xlarge,2024-06-14 12:13:01.853843,1.8360000000,0.834800,SUCCESS
EP Benchmark,D,34.53,48,48,3980.47,82.93,us-east-1a,c6a.12xlarge,2024-06-14 12:13:37.874870,1.8360000000,0.834800,SUCCESS
EP Benchmark,D,34.50,48,48,3983.92,83.00,us-east-1a,c6a.12xlarge,2024-06-14 12:14:13.946214,1.8360000000,0.834800,SUCCESS
EP Benchmark,D,34.55,48,48,3978.09,82.88,us-east-1a,c6a.12xlarge,2024-06-14 12:14:50.108766,1.8360000000,0.834800,SUCCESS
EP Benchmark,,,,,,,us-east-1a,c7i.12xlarge,2024-06-14 12:16:29.438998,,,InsufficientInstanceCapacity
EP Benchmark,D,36.13,48,48,3804.22,79.25,us-east-1a,c6i.12xlarge,2024-06-14 12:17:31.457517,2.0400000000,0.900900,SUCCESS
EP Benchmark,D,36.29,48,48,3787.66,78.91,us-east-1a,c6i.12xlarge,2024-06-14 12:18:09.208307,2.0400000000,0.900900,SUCCESS
EP Benchmark,D,36.12,48,48,3805.16,79.27,us-east-1a,c6i.12xlarge,2024-06-14 12:18:46.793883,2.0400000000,0.900900,SUCCESS
EP Benchmark,D,36.04,48,48,3813.30,79.44,us-east-1a,c6i.12xlarge,2024-06-14 12:19:24.327943,2.0400000000,0.900900,SUCCESS
EP Benchmark,D,36.25,48,48,3791.36,78.99,us-east-1a,c6i.12xlarge,2024-06-14 12:20:02.007429,2.0400000000,0.900900,SUCCESS
EP Benchmark,D,28.15,64,64,4882.57,76.29,us-east-1a,c6i.16xlarge,2024-06-14 12:21:58.793953,2.7200000000,1.324800,SUCCESS
EP Benchmark,D,27.42,64,64,5012.02,78.31,us-east-1a,c6i.16xlarge,2024-06-14 12:22:27.702303,2.7200000000,1.324800,SUCCESS
EP Benchmark,D,27.44,64,64,5008.62,78.26,us-east-1a,c6i.16xlarge,2024-06-14 12:22:56.635001,2.7200000000,1.324800,SUCCESS
EP Benchmark,D,28.00,64,64,4907.96,76.69,us-east-1a,c6i.16xlarge,2024-06-14 12:23:26.101391,2.7200000000,1.324800,SUCCESS
EP Benchmark,D,27.56,64,64,4986.57,77.92,us-east-1a,c6i.16xlarge,2024-06-14 12:23:55.140667,2.7200000000,1.324800,SUCCESS
EP Benchmark,D,28.87,64,64,4760.87,74.39,us-east-1a,c5a.16xlarge,2024-06-14 12:26:23.305842,2.4640000000,1.293300,SUCCESS
EP Benchmark,D,28.71,64,64,4787.82,74.81,us-east-1a,c5a.16xlarge,2024-06-14 12:26:53.498722,2.4640000000,1.293300,SUCCESS
EP Benchmark,D,28.80,64,64,4771.86,74.56,us-east-1a,c5a.16xlarge,2024-06-14 12:27:23.781432,2.4640000000,1.293300,SUCCESS
EP Benchmark,D,28.87,64,64,4760.85,74.39,us-east-1a,c5a.16xlarge,2024-06-14 12:27:54.155306,2.4640000000,1.293300,SUCCESS
EP Benchmark,D,29.03,64,64,4734.97,73.98,us-east-1a,c5a.16xlarge,2024-06-14 12:28:24.684089,2.4640000000,1.293300,SUCCESS
EP Benchmark,D,25.10,64,64,5475.25,85.55,us-east-1d,c7a.16xlarge,2024-06-14 12:30:41.640472,3.2844800000,1.495500,SUCCESS
EP Benchmark,D,24.82,64,64,5537.83,86.53,us-east-1d,c7a.16xlarge,2024-06-14 12:31:07.964068,3.2844800000,1.495500,SUCCESS
EP Benchmark,D,24.84,64,64,5533.90,86.47,us-east-1d,c7a.16xlarge,2024-06-14 12:31:34.421348,3.2844800000,1.495500,SUCCESS
EP Benchmark,D,24.85,64,64,5530.12,86.41,us-east-1d,c7a.16xlarge,2024-06-14 12:32:00.755334,3.2844800000,1.495500,SUCCESS
EP Benchmark,D,24.69,64,64,5566.05,86.97,us-east-1d,c7a.16xlarge,2024-06-14 12:32:26.876309,3.2844800000,1.495500,SUCCESS
EP Benchmark,,,,,,,us-east-1d,c7i.16xlarge,2024-06-14 12:35:05.693241,,,InsufficientInstanceCapacity
EP Benchmark,D,26.00,64,64,5286.89,82.61,us-east-1a,c6a.16xlarge,2024-06-14 12:35:58.207798,2.4480000000,1.114200,SUCCESS
EP Benchmark,D,25.93,64,64,5301.12,82.83,us-east-1a,c6a.16xlarge,2024-06-14 12:36:25.643285,2.4480000000,1.114200,SUCCESS
EP Benchmark,D,25.88,64,64,5310.49,82.98,us-east-1a,c6a.16xlarge,2024-06-14 12:36:53.018503,2.4480000000,1.114200,SUCCESS
EP Benchmark,D,25.96,64,64,5293.56,82.71,us-east-1a,c6a.16xlarge,2024-06-14 12:37:20.473204,2.4480000000,1.114200,SUCCESS
EP Benchmark,D,25.92,64,64,5303.00,82.86,us-east-1a,c6a.16xlarge,2024-06-14 12:37:47.849135,2.4480000000,1.114200,SUCCESS
