algorithm_name,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_total,Mops_per_thread,region,Instance_name,timestamp,Ondemand_price,Spot_price
EP Benchmark,D,173.81,8,8,790.76,98.85,sa-east-1,c5a.4xlarge,2024-06-10 23:19:49,0.9440000000,0.345300
EP Benchmark,D,176.13,8,8,780.33,97.54,sa-east-1,c5a.4xlarge,2024-06-10 23:22:46,0.9440000000,0.345300
EP Benchmark,D,210.62,8,8,652.55,81.57,sa-east-1,c5a.4xlarge,2024-06-10 23:26:18,0.9440000000,0.345300
EP Benchmark,D,173.60,8,8,791.69,98.96,sa-east-1,c5a.4xlarge,2024-06-10 23:29:13,0.9440000000,0.345300
EP Benchmark,D,174.24,8,8,788.80,98.60,sa-east-1,c5a.4xlarge,2024-06-10 23:32:08,0.9440000000,0.345300
EP Benchmark,D,126.80,8,8,1083.93,135.49,sa-east-1,c6i.4xlarge,2024-06-10 23:06:29,1.0480000000,0.259500
EP Benchmark,D,125.89,8,8,1091.75,136.47,sa-east-1,c6i.4xlarge,2024-06-10 23:08:36,1.0480000000,0.259500
EP Benchmark,D,126.13,8,8,1089.67,136.21,sa-east-1,c6i.4xlarge,2024-06-10 23:10:44,1.0480000000,0.259500
EP Benchmark,D,125.46,8,8,1095.49,136.94,sa-east-1,c6i.4xlarge,2024-06-10 23:12:50,1.0480000000,0.259500
EP Benchmark,D,126.17,8,8,1089.36,136.17,sa-east-1,c6i.4xlarge,2024-06-10 23:14:57,1.0480000000,0.259500
EP Benchmark,D,92.88,8,8,1479.71,184.96,sa-east-1,c7i.4xlarge,2024-06-10 22:54:03,1.1004000000,0.433800
EP Benchmark,D,96.09,8,8,1430.34,178.79,sa-east-1,c7i.4xlarge,2024-06-10 22:55:41,1.1004000000,0.433800
EP Benchmark,D,93.23,8,8,1474.20,184.28,sa-east-1,c7i.4xlarge,2024-06-10 22:57:15,1.1004000000,0.433800
EP Benchmark,D,176.26,8,8,779.76,97.47,sa-east-1,c7i.4xlarge,2024-06-10 23:00:12,1.1004000000,0.433800
EP Benchmark,D,176.01,8,8,780.88,97.61,sa-east-1,c7i.4xlarge,2024-06-10 23:03:10,1.1004000000,0.433800
EP Benchmark,D,63.71,24,24,2157.12,89.88,us-east-1,c5.12xlarge,2024-06-10 22:58:29,2.0400000000,0.963600
EP Benchmark,D,47.79,24,24,2875.79,119.82,us-east-1,c5.12xlarge,2024-06-10 22:59:19,2.0400000000,0.963600
EP Benchmark,D,63.99,24,24,2147.69,89.49,us-east-1,c5.12xlarge,2024-06-10 23:00:25,2.0400000000,0.963600
EP Benchmark,D,48.03,24,24,2861.43,119.23,us-east-1,c5.12xlarge,2024-06-10 23:01:16,2.0400000000,0.963600
EP Benchmark,D,64.77,24,24,2122.08,88.42,us-east-1,c5.12xlarge,2024-06-10 23:02:22,2.0400000000,0.963600
EP Benchmark,D,70.55,24,24,1948.04,81.17,us-east-1,c5a.12xlarge,2024-06-10 22:51:57,1.8480000000,0.883500
EP Benchmark,D,58.02,24,24,2368.86,98.70,us-east-1,c5a.12xlarge,2024-06-10 22:52:58,1.8480000000,0.883500
EP Benchmark,D,58.00,24,24,2369.59,98.73,us-east-1,c5a.12xlarge,2024-06-10 22:53:58,1.8480000000,0.883500
EP Benchmark,D,70.15,24,24,1959.32,81.64,us-east-1,c5a.12xlarge,2024-06-10 22:55:10,1.8480000000,0.883500
EP Benchmark,D,58.01,24,24,2369.28,98.72,us-east-1,c5a.12xlarge,2024-06-10 22:56:10,1.8480000000,0.883500
EP Benchmark,D,58.34,24,24,2355.89,98.16,us-east-1,c5a.16xlarge,2024-06-10 23:25:27,2.4640000000,1.334900
EP Benchmark,D,58.22,24,24,2360.65,98.36,us-east-1,c5a.16xlarge,2024-06-10 23:26:27,2.4640000000,1.334900
EP Benchmark,D,58.27,24,24,2358.56,98.27,us-east-1,c5a.16xlarge,2024-06-10 23:27:28,2.4640000000,1.334900
EP Benchmark,D,58.12,24,24,2364.72,98.53,us-east-1,c5a.16xlarge,2024-06-10 23:28:28,2.4640000000,1.334900
EP Benchmark,D,58.26,24,24,2358.86,98.29,us-east-1,c5a.16xlarge,2024-06-10 23:29:28,2.4640000000,1.334900
EP Benchmark,D,62.52,24,24,2198.40,91.60,us-east-1,c6a.12xlarge,2024-06-10 23:04:41,1.8360000000,0.860500
EP Benchmark,D,51.93,24,24,2646.40,110.27,us-east-1,c6a.12xlarge,2024-06-10 23:05:35,1.8360000000,0.860500
EP Benchmark,D,62.27,24,24,2207.28,91.97,us-east-1,c6a.12xlarge,2024-06-10 23:06:40,1.8360000000,0.860500
EP Benchmark,D,62.20,24,24,2209.76,92.07,us-east-1,c6a.12xlarge,2024-06-10 23:07:44,1.8360000000,0.860500
EP Benchmark,D,52.01,24,24,2642.39,110.10,us-east-1,c6a.12xlarge,2024-06-10 23:08:38,1.8360000000,0.860500
EP Benchmark,D,63.60,24,24,2161.01,90.04,us-east-1,c6a.16xlarge,2024-06-10 23:39:44,2.4480000000,1.181800
EP Benchmark,D,61.93,24,24,2219.10,92.46,us-east-1,c6a.16xlarge,2024-06-10 23:40:48,2.4480000000,1.181800
EP Benchmark,D,62.12,24,24,2212.52,92.19,us-east-1,c6a.16xlarge,2024-06-10 23:41:52,2.4480000000,1.181800
EP Benchmark,D,63.53,24,24,2163.40,90.14,us-east-1,c6a.16xlarge,2024-06-10 23:42:57,2.4480000000,1.181800
EP Benchmark,D,62.09,24,24,2213.60,92.23,us-east-1,c6a.16xlarge,2024-06-10 23:44:02,2.4480000000,1.181800
EP Benchmark,D,67.24,24,24,2044.03,85.17,us-east-1,c6g.8xlarge,2024-06-10 23:46:57,1.0880000000,0.499200
