Start_Time,End_Time,Instance,InstanceID,Price,Market,Region,Zone,Algorithm_Name,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_Total,Mops_per_Thread,Status
2024-06-22 14:28:00.495211,2024-06-22 14:28:03.222075,c7a.12xlarge,,,ondemand,sa-east-1,,NAS Benchmark,,,,,,,Unsupported
2024-06-22 14:28:03.227518,2024-06-22 14:29:39.343698,c6g.12xlarge,i-0651762f6dd78e4e3,2.5152,ondemand,sa-east-1,c,NAS Benchmark,D,67.4,24.0,24.0,2039.2,84.97,SUCCESS
2024-06-22 14:28:03.227518,2024-06-22 14:30:48.779076,c6g.12xlarge,i-0651762f6dd78e4e3,2.5152,ondemand,sa-east-1,c,NAS Benchmark,D,67.29,24.0,24.0,2042.46,85.1,SUCCESS
2024-06-22 14:28:03.227518,2024-06-22 14:31:58.181378,c6g.12xlarge,i-0651762f6dd78e4e3,2.5152,ondemand,sa-east-1,c,NAS Benchmark,D,67.29,24.0,24.0,2042.44,85.1,SUCCESS
2024-06-22 14:28:03.227518,2024-06-22 14:33:07.549219,c6g.12xlarge,i-0651762f6dd78e4e3,2.5152,ondemand,sa-east-1,c,NAS Benchmark,D,67.26,24.0,24.0,2043.48,85.15,SUCCESS
2024-06-22 14:28:03.227518,2024-06-22 14:34:17.002789,c6g.12xlarge,i-0651762f6dd78e4e3,2.5152,ondemand,sa-east-1,c,NAS Benchmark,D,67.32,24.0,24.0,2041.49,85.06,SUCCESS
2024-06-22 14:35:20.179709,2024-06-22 14:36:33.749107,c7g.12xlarge,i-0bee0bc5bc668f40d,2.6659,ondemand,sa-east-1,b,NAS Benchmark,D,44.81,24.0,24.0,3067.19,127.8,SUCCESS
2024-06-22 14:35:20.179709,2024-06-22 14:37:20.671181,c7g.12xlarge,i-0bee0bc5bc668f40d,2.6659,ondemand,sa-east-1,b,NAS Benchmark,D,44.8,24.0,24.0,3068.06,127.84,SUCCESS
2024-06-22 14:35:20.179709,2024-06-22 14:38:07.686005,c7g.12xlarge,i-0bee0bc5bc668f40d,2.6659,ondemand,sa-east-1,b,NAS Benchmark,D,44.87,24.0,24.0,3062.75,127.61,SUCCESS
2024-06-22 14:35:20.179709,2024-06-22 14:38:54.618148,c7g.12xlarge,i-0bee0bc5bc668f40d,2.6659,ondemand,sa-east-1,b,NAS Benchmark,D,44.8,24.0,24.0,3067.57,127.82,SUCCESS
2024-06-22 14:35:20.179709,2024-06-22 14:39:41.801284,c7g.12xlarge,i-0bee0bc5bc668f40d,2.6659,ondemand,sa-east-1,b,NAS Benchmark,D,44.8,24.0,24.0,3068.0,127.83,SUCCESS
2024-06-22 14:40:29.738678,2024-06-22 14:42:09.507936,c5a.12xlarge,i-0ca655c113202d796,2.832,ondemand,sa-east-1,b,NAS Benchmark,D,70.67,24.0,24.0,1944.77,81.03,SUCCESS
2024-06-22 14:40:29.738678,2024-06-22 14:43:10.238135,c5a.12xlarge,i-0ca655c113202d796,2.832,ondemand,sa-east-1,b,NAS Benchmark,D,58.53,24.0,24.0,2348.36,97.85,SUCCESS
2024-06-22 14:40:29.738678,2024-06-22 14:44:11.093301,c5a.12xlarge,i-0ca655c113202d796,2.832,ondemand,sa-east-1,b,NAS Benchmark,D,58.7,24.0,24.0,2341.18,97.55,SUCCESS
2024-06-22 14:40:29.738678,2024-06-22 14:45:11.861583,c5a.12xlarge,i-0ca655c113202d796,2.832,ondemand,sa-east-1,b,NAS Benchmark,D,58.63,24.0,24.0,2344.35,97.68,SUCCESS
2024-06-22 14:40:29.738678,2024-06-22 14:46:12.604285,c5a.12xlarge,i-0ca655c113202d796,2.832,ondemand,sa-east-1,b,NAS Benchmark,D,58.65,24.0,24.0,2343.42,97.64,SUCCESS
