algorithm_name,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_total,Mops_per_thread,region,Instance_name,timestamp,Ondemand_price,Spot_price
EP Benchmark,D,33.36,48,48,4120.22,85.84,us-east-1,c6g.12xlarge,2024-06-12 17:06:59.605074,1.6320000000,0.726000
EP Benchmark,D,33.67,48,48,4081.97,85.04,us-east-1,c6g.12xlarge,2024-06-12 17:07:34.716985,1.6320000000,0.726000
EP Benchmark,D,33.66,48,48,4083.06,85.06,us-east-1,c6g.12xlarge,2024-06-12 17:08:10.455027,1.6320000000,0.726000
EP Benchmark,D,33.69,48,48,4079.10,84.98,us-east-1,c6g.12xlarge,2024-06-12 17:08:46.372964,1.6320000000,0.726000
EP Benchmark,D,33.70,48,48,4077.85,84.96,us-east-1,c6g.12xlarge,2024-06-12 17:09:21.725104,1.6320000000,0.726000
EP Benchmark,D,22.44,48,48,6124.20,127.59,us-east-1,c7g.12xlarge,2024-06-12 17:11:14.876424,1.7400000000,0.776900
EP Benchmark,D,22.43,48,48,6127.41,127.65,us-east-1,c7g.12xlarge,2024-06-12 17:11:39.453247,1.7400000000,0.776900
EP Benchmark,D,22.44,48,48,6124.70,127.60,us-east-1,c7g.12xlarge,2024-06-12 17:12:04.540717,1.7400000000,0.776900
EP Benchmark,D,22.43,48,48,6126.33,127.63,us-east-1,c7g.12xlarge,2024-06-12 17:12:28.709038,1.7400000000,0.776900
EP Benchmark,D,22.43,48,48,6127.99,127.67,us-east-1,c7g.12xlarge,2024-06-12 17:12:53.383130,1.7400000000,0.776900
EP Benchmark,D,38.78,48,48,3544.00,73.83,us-east-1,c5a.12xlarge,2024-06-12 17:15:31.397066,1.8480000000,0.886500
EP Benchmark,D,38.60,48,48,3560.91,74.19,us-east-1,c5a.12xlarge,2024-06-12 17:16:12.953147,1.8480000000,0.886500
EP Benchmark,D,38.84,48,48,3538.53,73.72,us-east-1,c5a.12xlarge,2024-06-12 17:16:54.104265,1.8480000000,0.886500
EP Benchmark,D,38.84,48,48,3538.53,73.72,us-east-1,c5a.12xlarge,2024-06-12 17:17:35.095737,1.8480000000,0.886500
EP Benchmark,D,40.06,48,48,3430.50,71.47,us-east-1,c5a.12xlarge,2024-06-12 17:18:17.263262,1.8480000000,0.886500
EP Benchmark,D,38.41,48,48,3577.85,74.54,us-east-1,c5.12xlarge,2024-06-12 17:20:10.309692,2.0400000000,0.901000
EP Benchmark,D,38.50,48,48,3570.09,74.38,us-east-1,c5.12xlarge,2024-06-12 17:20:51.677967,2.0400000000,0.901000
EP Benchmark,D,38.10,48,48,3607.55,75.16,us-east-1,c5.12xlarge,2024-06-12 17:21:32.631774,2.0400000000,0.901000
EP Benchmark,D,40.09,48,48,3428.16,71.42,us-east-1,c5.12xlarge,2024-06-12 17:22:14.213748,2.0400000000,0.901000
EP Benchmark,D,38.59,48,48,3561.15,74.19,us-east-1,c5.12xlarge,2024-06-12 17:22:54.562924,2.0400000000,0.901000
EP Benchmark,D,35.30,48,48,3893.64,81.12,us-east-1,c6a.12xlarge,2024-06-12 17:24:33.416975,1.8360000000,0.836400
EP Benchmark,D,34.57,48,48,3975.88,82.83,us-east-1,c6a.12xlarge,2024-06-12 17:25:09.426245,1.8360000000,0.836400
EP Benchmark,D,35.30,48,48,3893.44,81.11,us-east-1,c6a.12xlarge,2024-06-12 17:25:46.685646,1.8360000000,0.836400
EP Benchmark,D,34.59,48,48,3973.12,82.77,us-east-1,c6a.12xlarge,2024-06-12 17:26:23.345889,1.8360000000,0.836400
EP Benchmark,D,34.54,48,48,3978.62,82.89,us-east-1,c6a.12xlarge,2024-06-12 17:27:00.055105,1.8360000000,0.836400
EP Benchmark,D,36.91,48,48,3723.85,77.58,us-east-1,c6i.12xlarge,2024-06-12 17:29:20.404595,2.0400000000,0.912700
EP Benchmark,D,36.43,48,48,3772.65,78.60,us-east-1,c6i.12xlarge,2024-06-12 17:29:58.689400,2.0400000000,0.912700
EP Benchmark,D,37.23,48,48,3691.56,76.91,us-east-1,c6i.12xlarge,2024-06-12 17:30:38.010343,2.0400000000,0.912700
EP Benchmark,D,36.44,48,48,3772.14,78.59,us-east-1,c6i.12xlarge,2024-06-12 17:31:16.516225,2.0400000000,0.912700
EP Benchmark,D,36.47,48,48,3768.52,78.51,us-east-1,c6i.12xlarge,2024-06-12 17:31:55.000327,2.0400000000,0.912700
EP Benchmark,D,28.66,64,64,4796.14,74.94,us-east-1,c6i.16xlarge,2024-06-12 17:34:10.999716,2.7200000000,1.338000
EP Benchmark,D,27.98,64,64,4911.32,76.74,us-east-1,c6i.16xlarge,2024-06-12 17:34:41.411760,2.7200000000,1.338000
EP Benchmark,D,28.92,64,64,4752.85,74.26,us-east-1,c6i.16xlarge,2024-06-12 17:35:12.039028,2.7200000000,1.338000
EP Benchmark,D,28.00,64,64,4908.90,76.70,us-east-1,c6i.16xlarge,2024-06-12 17:35:42.134329,2.7200000000,1.338000
EP Benchmark,D,28.01,64,64,4906.03,76.66,us-east-1,c6i.16xlarge,2024-06-12 17:36:12.136688,2.7200000000,1.338000
EP Benchmark,D,29.79,64,64,4613.26,72.08,us-east-1,c5a.16xlarge,2024-06-12 17:38:02.249939,2.4640000000,1.259200
EP Benchmark,D,28.79,64,64,4773.62,74.59,us-east-1,c5a.16xlarge,2024-06-12 17:38:33.345828,2.4640000000,1.259200
EP Benchmark,D,28.81,64,64,4770.88,74.55,us-east-1,c5a.16xlarge,2024-06-12 17:39:03.971996,2.4640000000,1.259200
EP Benchmark,D,28.71,64,64,4787.28,74.80,us-east-1,c5a.16xlarge,2024-06-12 17:39:34.785433,2.4640000000,1.259200
EP Benchmark,D,28.71,64,64,4787.67,74.81,us-east-1,c5a.16xlarge,2024-06-12 17:40:05.919672,2.4640000000,1.259200
EP Benchmark,D,25.95,64,64,5296.88,82.76,us-east-1,c6a.16xlarge,2024-06-12 17:43:45.154774,2.4480000000,1.176200
EP Benchmark,D,25.92,64,64,5302.37,82.85,us-east-1,c6a.16xlarge,2024-06-12 17:44:13.412267,2.4480000000,1.176200
EP Benchmark,D,25.89,64,64,5307.56,82.93,us-east-1,c6a.16xlarge,2024-06-12 17:44:41.472708,2.4480000000,1.176200
EP Benchmark,D,25.92,64,64,5303.45,82.87,us-east-1,c6a.16xlarge,2024-06-12 17:45:09.425075,2.4480000000,1.176200
EP Benchmark,D,25.91,64,64,5304.30,82.88,us-east-1,c6a.16xlarge,2024-06-12 17:45:37.891562,2.4480000000,1.176200
