Start_Time,End_Time,Instance,InstanceID,Price,Market,Region,Zone,Algorithm_Name,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_Total,Mops_per_Thread,Status,Cores
2024-08-15 23:55:33.585237,2024-08-15 23:57:35.926214,c7a.12xlarge,i-090b21371f62124d0,2.46336,ondemand,us-east-1,d,NAS Benchmark - cg.C.x,C,92.72,,,1546.05,1546.05,SUCCESS,1.0
2024-08-15 23:55:33.585237,2024-08-15 23:58:21.072601,c7a.12xlarge,i-090b21371f62124d0,2.46336,ondemand,us-east-1,d,NAS Benchmark - cg.C.x,C,42.03,,,3410.7,1705.35,SUCCESS,2.0
2024-08-15 23:55:33.585237,2024-08-15 23:58:45.877508,c7a.12xlarge,i-090b21371f62124d0,2.46336,ondemand,us-east-1,d,NAS Benchmark - cg.C.x,C,22.26,,,6440.48,1610.12,SUCCESS,4.0
2024-08-15 23:55:33.585237,2024-08-15 23:59:00.019781,c7a.12xlarge,i-090b21371f62124d0,2.46336,ondemand,us-east-1,d,NAS Benchmark - cg.C.x,C,11.7,,,12256.62,1532.08,SUCCESS,8.0
2024-08-15 23:55:33.585237,2024-08-15 23:59:09.247155,c7a.12xlarge,i-090b21371f62124d0,2.46336,ondemand,us-east-1,d,NAS Benchmark - cg.C.x,C,6.96,,,20587.83,1286.74,SUCCESS,16.0
2024-08-15 23:55:33.585237,2024-08-15 23:59:43.386412,c7a.12xlarge,i-090b21371f62124d0,2.46336,ondemand,us-east-1,d,NAS Benchmark - mg.C.x,C,28.23,,,5515.58,5515.58,SUCCESS,1.0
2024-08-15 23:55:33.585237,2024-08-16 00:00:02.097623,c7a.12xlarge,i-090b21371f62124d0,2.46336,ondemand,us-east-1,d,NAS Benchmark - mg.C.x,C,14.73,,,10570.76,5285.38,SUCCESS,2.0
2024-08-15 23:55:33.585237,2024-08-16 00:00:12.570927,c7a.12xlarge,i-090b21371f62124d0,2.46336,ondemand,us-east-1,d,NAS Benchmark - mg.C.x,C,7.37,,,21122.11,5280.53,SUCCESS,4.0
2024-08-15 23:55:33.585237,2024-08-16 00:00:18.726297,c7a.12xlarge,i-090b21371f62124d0,2.46336,ondemand,us-east-1,d,NAS Benchmark - mg.C.x,C,3.64,,,42825.97,5353.25,SUCCESS,8.0
2024-08-15 23:55:33.585237,2024-08-16 00:00:23.346381,c7a.12xlarge,i-090b21371f62124d0,2.46336,ondemand,us-east-1,d,NAS Benchmark - mg.C.x,C,2.24,,,69446.27,4340.39,SUCCESS,16.0
