Start_Time,End_Time,Instance,InstanceID,Price,Market,Region,Zone,Algorithm_Name,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_Total,Mops_per_Thread,Status,Cores
2024-08-19 13:51:47.005002,2024-08-19 13:53:48.525197,c7a.12xlarge,i-02366b402c6a7644e,2.4633600000,ondemand,us-east-1,d,NAS Benchmark - cg.C.x,C,88.99,,,1610.90,1610.90,SUCCESS,1
2024-08-19 13:51:47.005002,2024-08-19 13:54:42.285061,c7a.12xlarge,i-02366b402c6a7644e,2.4633600000,ondemand,us-east-1,d,NAS Benchmark - cg.C.x,C,39.43,,,3635.75,1817.88,SUCCESS,2
2024-08-19 13:51:47.005002,2024-08-19 13:55:16.778151,c7a.12xlarge,i-02366b402c6a7644e,2.4633600000,ondemand,us-east-1,d,NAS Benchmark - cg.C.x,C,20.66,,,6939.64,1734.91,SUCCESS,4
2024-08-19 13:51:47.005002,2024-08-19 13:55:41.516266,c7a.12xlarge,i-02366b402c6a7644e,2.4633600000,ondemand,us-east-1,d,NAS Benchmark - cg.C.x,C,11.34,,,12646.29,1580.79,SUCCESS,8
2024-08-19 13:51:47.005002,2024-08-19 13:56:01.328120,c7a.12xlarge,i-02366b402c6a7644e,2.4633600000,ondemand,us-east-1,d,NAS Benchmark - cg.C.x,C,6.45,,,22215.29,1388.46,SUCCESS,16
2024-08-19 13:51:47.005002,2024-08-19 13:56:45.787335,c7a.12xlarge,i-02366b402c6a7644e,2.4633600000,ondemand,us-east-1,d,NAS Benchmark - mg.C.x,C,27.49,,,5663.13,5663.13,SUCCESS,1
2024-08-19 13:51:47.005002,2024-08-19 13:57:15.462681,c7a.12xlarge,i-02366b402c6a7644e,2.4633600000,ondemand,us-east-1,d,NAS Benchmark - mg.C.x,C,14.42,,,10793.86,5396.93,SUCCESS,2
2024-08-19 13:51:47.005002,2024-08-19 13:57:36.792550,c7a.12xlarge,i-02366b402c6a7644e,2.4633600000,ondemand,us-east-1,d,NAS Benchmark - mg.C.x,C,7.21,,,21604.15,5401.04,SUCCESS,4
2024-08-19 13:51:47.005002,2024-08-19 13:57:54.085159,c7a.12xlarge,i-02366b402c6a7644e,2.4633600000,ondemand,us-east-1,d,NAS Benchmark - mg.C.x,C,3.59,,,43390.72,5423.84,SUCCESS,8
2024-08-19 13:51:47.005002,2024-08-19 13:58:09.821917,c7a.12xlarge,i-02366b402c6a7644e,2.4633600000,ondemand,us-east-1,d,NAS Benchmark - mg.C.x,C,2.14,,,72921.62,4557.60,SUCCESS,16
