algorithm_name,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_total,Mops_per_thread,region,Instance_name,timestamp,Ondemand_price,Spot_price
EP Benchmark,D,33.64,48,48,4085.06,85.11,sa-east-1,c6g.12xlarge,2024-06-12 09:07:23.618794,2.5152000000,0.251500
EP Benchmark,D,33.68,48,48,4080.72,85.01,sa-east-1,c6g.12xlarge,2024-06-12 09:07:57.922746,2.5152000000,0.251500
EP Benchmark,D,33.67,48,48,4081.64,85.03,sa-east-1,c6g.12xlarge,2024-06-12 09:08:32.105803,2.5152000000,0.251500
EP Benchmark,D,33.66,48,48,4083.00,85.06,sa-east-1,c6g.12xlarge,2024-06-12 09:09:06.232418,2.5152000000,0.251500
EP Benchmark,D,33.65,48,48,4083.81,85.08,sa-east-1,c6g.12xlarge,2024-06-12 09:09:40.426717,2.5152000000,0.251500
EP Benchmark,D,38.40,48,48,3579.16,74.57,sa-east-1,c5a.12xlarge,2024-06-12 09:11:32.350966,2.8320000000,0.376400
EP Benchmark,D,39.47,48,48,3482.21,72.55,sa-east-1,c5a.12xlarge,2024-06-12 09:12:12.169625,2.8320000000,0.376400
EP Benchmark,D,39.43,48,48,3485.25,72.61,sa-east-1,c5a.12xlarge,2024-06-12 09:12:52.021852,2.8320000000,0.376400
EP Benchmark,D,38.35,48,48,3583.65,74.66,sa-east-1,c5a.12xlarge,2024-06-12 09:13:31.008952,2.8320000000,0.376400
EP Benchmark,D,38.55,48,48,3565.13,74.27,sa-east-1,c5a.12xlarge,2024-06-12 09:14:09.949126,2.8320000000,0.376400
EP Benchmark,D,42.06,48,48,3267.60,68.07,sa-east-1,c5.12xlarge,2024-06-12 09:16:17.674167,3.1440000000,1.028900
EP Benchmark,D,41.57,48,48,3306.08,68.88,sa-east-1,c5.12xlarge,2024-06-12 09:17:00.244528,3.1440000000,1.028900
EP Benchmark,D,41.79,48,48,3288.75,68.52,sa-east-1,c5.12xlarge,2024-06-12 09:17:42.638892,3.1440000000,1.028900
EP Benchmark,D,41.73,48,48,3293.55,68.62,sa-east-1,c5.12xlarge,2024-06-12 09:18:24.829615,3.1440000000,1.028900
EP Benchmark,D,43.07,48,48,3190.69,66.47,sa-east-1,c5.12xlarge,2024-06-12 09:19:08.377249,3.1440000000,1.028900
EP Benchmark,D,34.55,48,48,3977.53,82.87,sa-east-1,c6a.12xlarge,2024-06-12 09:20:54.028281,2.8296000000,1.234300
EP Benchmark,D,34.54,48,48,3978.57,82.89,sa-east-1,c6a.12xlarge,2024-06-12 09:21:29.167401,2.8296000000,1.234300
EP Benchmark,D,34.67,48,48,3964.13,82.59,sa-east-1,c6a.12xlarge,2024-06-12 09:22:04.599376,2.8296000000,1.234300
EP Benchmark,D,34.71,48,48,3959.38,82.49,sa-east-1,c6a.12xlarge,2024-06-12 09:22:40.117964,2.8296000000,1.234300
EP Benchmark,D,34.58,48,48,3974.53,82.80,sa-east-1,c6a.12xlarge,2024-06-12 09:23:15.548962,2.8296000000,1.234300
EP Benchmark,D,30.25,48,48,4543.60,94.66,sa-east-1,c7i.12xlarge,2024-06-12 09:25:28.294448,3.3012000000,0.330100
EP Benchmark,D,29.56,48,48,4648.77,96.85,sa-east-1,c7i.12xlarge,2024-06-12 09:25:58.368214,3.3012000000,0.330100
EP Benchmark,D,29.65,48,48,4635.93,96.58,sa-east-1,c7i.12xlarge,2024-06-12 09:26:28.682658,3.3012000000,0.330100
