algorithm_name,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_total,Mops_per_thread,region,Instance_name,timestamp,Ondemand_price,Spot_price,STATUS
EP Benchmark,,,,,,,sa-east-1a,c7a.12xlarge,2024-06-14 13:06:34.472200,,,Unsupported
EP Benchmark,D,34.14,48,48,4025.65,83.87,sa-east-1a,c6g.12xlarge,2024-06-14 13:07:31.446419,2.5152000000,0.251500,SUCCESS
EP Benchmark,D,33.66,48,48,4082.55,85.05,sa-east-1a,c6g.12xlarge,2024-06-14 13:08:05.442746,2.5152000000,0.251500,SUCCESS
EP Benchmark,D,33.66,48,48,4083.03,85.06,sa-east-1a,c6g.12xlarge,2024-06-14 13:08:39.443021,2.5152000000,0.251500,SUCCESS
EP Benchmark,D,33.68,48,48,4080.72,85.02,sa-east-1a,c6g.12xlarge,2024-06-14 13:09:13.463372,2.5152000000,0.251500,SUCCESS
EP Benchmark,D,33.72,48,48,4075.59,84.91,sa-east-1a,c6g.12xlarge,2024-06-14 13:09:47.524179,2.5152000000,0.251500,SUCCESS
EP Benchmark,,,,,,,sa-east-1a,c7g.12xlarge,2024-06-14 13:11:23.083026,,,Unsupported
EP Benchmark,D,39.34,48,48,3493.56,72.78,sa-east-1a,c5a.12xlarge,2024-06-14 13:12:25.028866,2.8320000000,0.371200,SUCCESS
EP Benchmark,D,38.40,48,48,3579.29,74.57,sa-east-1a,c5a.12xlarge,2024-06-14 13:13:03.810830,2.8320000000,0.371200,SUCCESS
EP Benchmark,D,38.29,48,48,3589.35,74.78,sa-east-1a,c5a.12xlarge,2024-06-14 13:13:42.468049,2.8320000000,0.371200,SUCCESS
EP Benchmark,D,38.37,48,48,3581.59,74.62,sa-east-1a,c5a.12xlarge,2024-06-14 13:14:21.214043,2.8320000000,0.371200,SUCCESS
EP Benchmark,D,38.28,48,48,3590.38,74.80,sa-east-1a,c5a.12xlarge,2024-06-14 13:14:59.881815,2.8320000000,0.371200,SUCCESS
EP Benchmark,D,38.93,48,48,3530.72,73.56,sa-east-1a,c5.12xlarge,2024-06-14 13:17:04.096972,3.1440000000,1.000600,SUCCESS
EP Benchmark,D,39.27,48,48,3499.59,72.91,sa-east-1a,c5.12xlarge,2024-06-14 13:17:43.723026,3.1440000000,1.000600,SUCCESS
EP Benchmark,D,39.10,48,48,3514.96,73.23,sa-east-1a,c5.12xlarge,2024-06-14 13:18:23.187265,3.1440000000,1.000600,SUCCESS
EP Benchmark,D,39.20,48,48,3505.90,73.04,sa-east-1a,c5.12xlarge,2024-06-14 13:19:02.753720,3.1440000000,1.000600,SUCCESS
EP Benchmark,D,39.46,48,48,3483.17,72.57,sa-east-1a,c5.12xlarge,2024-06-14 13:19:42.559143,3.1440000000,1.000600,SUCCESS
EP Benchmark,D,34.86,48,48,3942.15,82.13,sa-east-1a,c6a.12xlarge,2024-06-14 13:21:27.359306,2.8296000000,1.259500,SUCCESS
EP Benchmark,D,34.56,48,48,3976.64,82.85,sa-east-1a,c6a.12xlarge,2024-06-14 13:22:02.303714,2.8296000000,1.259500,SUCCESS
EP Benchmark,D,34.77,48,48,3952.63,82.35,sa-east-1a,c6a.12xlarge,2024-06-14 13:22:37.467445,2.8296000000,1.259500,SUCCESS
EP Benchmark,D,34.56,48,48,3976.56,82.85,sa-east-1a,c6a.12xlarge,2024-06-14 13:23:12.412969,2.8296000000,1.259500,SUCCESS
EP Benchmark,D,34.52,48,48,3980.99,82.94,sa-east-1a,c6a.12xlarge,2024-06-14 13:23:47.311712,2.8296000000,1.259500,SUCCESS
EP Benchmark,D,34.55,48,48,3977.53,82.87,sa-east-1a,c7i.12xlarge,2024-06-14 13:25:46.827354,3.3012000000,0.330100,SUCCESS
EP Benchmark,D,32.91,48,48,4175.96,87.00,sa-east-1a,c7i.12xlarge,2024-06-14 13:26:20.075396,3.3012000000,0.330100,SUCCESS
EP Benchmark,D,32.93,48,48,4173.21,86.94,sa-east-1a,c7i.12xlarge,2024-06-14 13:26:53.340625,3.3012000000,0.330100,SUCCESS
EP Benchmark,D,32.80,48,48,4189.71,87.29,sa-east-1a,c7i.12xlarge,2024-06-14 13:27:26.475518,3.3012000000,0.330100,SUCCESS
EP Benchmark,D,32.81,48,48,4188.53,87.26,sa-east-1a,c7i.12xlarge,2024-06-14 13:27:59.628208,3.3012000000,0.330100,SUCCESS
EP Benchmark,D,36.51,48,48,3764.91,78.44,sa-east-1a,c6i.12xlarge,2024-06-14 13:29:30.680779,3.1440000000,1.190200,SUCCESS
EP Benchmark,D,36.03,48,48,3814.65,79.47,sa-east-1a,c6i.12xlarge,2024-06-14 13:30:07.038242,3.1440000000,1.190200,SUCCESS
EP Benchmark,D,36.12,48,48,3805.29,79.28,sa-east-1a,c6i.12xlarge,2024-06-14 13:30:43.508458,3.1440000000,1.190200,SUCCESS
EP Benchmark,D,36.09,48,48,3808.14,79.34,sa-east-1a,c6i.12xlarge,2024-06-14 13:31:19.939637,3.1440000000,1.190200,SUCCESS
EP Benchmark,D,36.13,48,48,3803.58,79.24,sa-east-1a,c6i.12xlarge,2024-06-14 13:31:56.402445,3.1440000000,1.190200,SUCCESS
EP Benchmark,D,28.78,64,64,4775.34,74.61,sa-east-1a,c6i.16xlarge,2024-06-14 13:33:49.635641,4.1920000000,1.466100,SUCCESS
EP Benchmark,D,28.32,64,64,4853.39,75.83,sa-east-1a,c6i.16xlarge,2024-06-14 13:34:18.293210,4.1920000000,1.466100,SUCCESS
EP Benchmark,D,28.84,64,64,4766.17,74.47,sa-east-1a,c6i.16xlarge,2024-06-14 13:34:47.476517,4.1920000000,1.466100,SUCCESS
EP Benchmark,D,28.18,64,64,4877.31,76.21,sa-east-1a,c6i.16xlarge,2024-06-14 13:35:16.023017,4.1920000000,1.466100,SUCCESS
EP Benchmark,D,28.28,64,64,4859.73,75.93,sa-east-1a,c6i.16xlarge,2024-06-14 13:35:44.660322,4.1920000000,1.466100,SUCCESS
EP Benchmark,D,29.12,64,64,4720.05,73.75,sa-east-1a,c5a.16xlarge,2024-06-14 13:38:09.136865,3.7760000000,0.860500,SUCCESS
EP Benchmark,D,28.70,64,64,4788.32,74.82,sa-east-1a,c5a.16xlarge,2024-06-14 13:38:38.206265,3.7760000000,0.860500,SUCCESS
EP Benchmark,D,28.76,64,64,4778.05,74.66,sa-east-1a,c5a.16xlarge,2024-06-14 13:39:07.343035,3.7760000000,0.860500,SUCCESS
EP Benchmark,D,28.77,64,64,4777.57,74.65,sa-east-1a,c5a.16xlarge,2024-06-14 13:39:36.516045,3.7760000000,0.860500,SUCCESS
EP Benchmark,D,28.72,64,64,4786.10,74.78,sa-east-1a,c5a.16xlarge,2024-06-14 13:40:05.625230,3.7760000000,0.860500,SUCCESS
