algorithm_name,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_total,Mops_per_thread,region,Instance_name,timestamp,Ondemand_price,Spot_price,STATUS
EP Benchmark,,,,,,,us-east-1a,c7a.12xlarge,2024-06-14 09:08:57.082104,,,
EP Benchmark,D,33.97,48,48,4045.85,84.29,us-east-1a,c6g.12xlarge,2024-06-14 09:09:56.525007,1.6320000000,0.718600,SUCCESS
EP Benchmark,D,33.67,48,48,4081.44,85.03,us-east-1a,c6g.12xlarge,2024-06-14 09:10:31.689908,1.6320000000,0.718600,SUCCESS
EP Benchmark,D,33.70,48,48,4077.93,84.96,us-east-1a,c6g.12xlarge,2024-06-14 09:11:06.874470,1.6320000000,0.718600,SUCCESS
EP Benchmark,D,33.67,48,48,4082.07,85.04,us-east-1a,c6g.12xlarge,2024-06-14 09:11:41.978190,1.6320000000,0.718600,SUCCESS
EP Benchmark,D,33.68,48,48,4081.00,85.02,us-east-1a,c6g.12xlarge,2024-06-14 09:12:17.117320,1.6320000000,0.718600,SUCCESS
EP Benchmark,D,22.46,48,48,6118.52,127.47,us-east-1a,c7g.12xlarge,2024-06-14 09:14:23.460467,1.7400000000,0.774000,SUCCESS
EP Benchmark,D,22.43,48,48,6126.27,127.63,us-east-1a,c7g.12xlarge,2024-06-14 09:14:47.359429,1.7400000000,0.774000,SUCCESS
EP Benchmark,D,22.44,48,48,6126.00,127.63,us-east-1a,c7g.12xlarge,2024-06-14 09:15:11.379523,1.7400000000,0.774000,SUCCESS
EP Benchmark,D,22.44,48,48,6124.85,127.60,us-east-1a,c7g.12xlarge,2024-06-14 09:15:35.283938,1.7400000000,0.774000,SUCCESS
EP Benchmark,D,22.43,48,48,6127.30,127.65,us-east-1a,c7g.12xlarge,2024-06-14 09:15:59.269401,1.7400000000,0.774000,SUCCESS
EP Benchmark,D,38.82,48,48,3540.42,73.76,us-east-1a,c5a.12xlarge,2024-06-14 09:17:51.320740,1.8480000000,0.887200,SUCCESS
EP Benchmark,D,38.29,48,48,3589.37,74.78,us-east-1a,c5a.12xlarge,2024-06-14 09:18:31.114041,1.8480000000,0.887200,SUCCESS
EP Benchmark,D,38.48,48,48,3572.08,74.42,us-east-1a,c5a.12xlarge,2024-06-14 09:19:11.088850,1.8480000000,0.887200,SUCCESS
EP Benchmark,D,38.32,48,48,3586.26,74.71,us-east-1a,c5a.12xlarge,2024-06-14 09:19:50.910385,1.8480000000,0.887200,SUCCESS
EP Benchmark,D,38.33,48,48,3585.75,74.70,us-east-1a,c5a.12xlarge,2024-06-14 09:20:30.744217,1.8480000000,0.887200,SUCCESS
EP Benchmark,D,39.42,48,48,3486.64,72.64,us-east-1a,c5.12xlarge,2024-06-14 09:22:23.636073,2.0400000000,0.892300,SUCCESS
EP Benchmark,D,38.94,48,48,3529.75,73.54,us-east-1a,c5.12xlarge,2024-06-14 09:23:04.057075,2.0400000000,0.892300,SUCCESS
EP Benchmark,D,39.20,48,48,3506.41,73.05,us-east-1a,c5.12xlarge,2024-06-14 09:23:44.677851,2.0400000000,0.892300,SUCCESS
EP Benchmark,D,39.28,48,48,3499.29,72.90,us-east-1a,c5.12xlarge,2024-06-14 09:24:25.433703,2.0400000000,0.892300,SUCCESS
EP Benchmark,D,39.52,48,48,3477.77,72.45,us-east-1a,c5.12xlarge,2024-06-14 09:25:06.397999,2.0400000000,0.892300,SUCCESS
EP Benchmark,D,34.62,48,48,3970.01,82.71,us-east-1a,c6a.12xlarge,2024-06-14 09:26:55.078842,1.8360000000,0.833700,SUCCESS
EP Benchmark,D,34.54,48,48,3979.22,82.90,us-east-1a,c6a.12xlarge,2024-06-14 09:27:31.192685,1.8360000000,0.833700,SUCCESS
EP Benchmark,D,34.48,48,48,3986.17,83.05,us-east-1a,c6a.12xlarge,2024-06-14 09:28:07.153058,1.8360000000,0.833700,SUCCESS
EP Benchmark,D,34.48,48,48,3985.68,83.03,us-east-1a,c6a.12xlarge,2024-06-14 09:28:43.087423,1.8360000000,0.833700,SUCCESS
EP Benchmark,D,34.50,48,48,3983.71,82.99,us-east-1a,c6a.12xlarge,2024-06-14 09:29:19.166290,1.8360000000,0.833700,SUCCESS
EP Benchmark,,,,,,,us-east-1a,c7i.12xlarge,2024-06-14 09:30:52.301654,,,
EP Benchmark,D,37.49,48,48,3666.18,76.38,us-east-1a,c6i.12xlarge,2024-06-14 09:31:55.204015,2.0400000000,0.906100,SUCCESS
EP Benchmark,D,36.05,48,48,3812.64,79.43,us-east-1a,c6i.12xlarge,2024-06-14 09:32:32.743136,2.0400000000,0.906100,SUCCESS
EP Benchmark,D,36.03,48,48,3815.02,79.48,us-east-1a,c6i.12xlarge,2024-06-14 09:33:10.258588,2.0400000000,0.906100,SUCCESS
EP Benchmark,D,36.03,48,48,3814.59,79.47,us-east-1a,c6i.12xlarge,2024-06-14 09:33:47.757760,2.0400000000,0.906100,SUCCESS
EP Benchmark,D,36.28,48,48,3788.70,78.93,us-east-1a,c6i.12xlarge,2024-06-14 09:34:25.518505,2.0400000000,0.906100,SUCCESS
EP Benchmark,D,29.69,64,64,4629.80,72.34,us-east-1a,c6i.16xlarge,2024-06-14 09:36:38.714734,2.7200000000,1.324800,SUCCESS
EP Benchmark,D,27.50,64,64,4997.93,78.09,us-east-1a,c6i.16xlarge,2024-06-14 09:37:07.707942,2.7200000000,1.324800,SUCCESS
EP Benchmark,D,27.87,64,64,4931.14,77.05,us-east-1a,c6i.16xlarge,2024-06-14 09:37:37.072921,2.7200000000,1.324800,SUCCESS
EP Benchmark,D,27.58,64,64,4984.03,77.88,us-east-1a,c6i.16xlarge,2024-06-14 09:38:06.101964,2.7200000000,1.324800,SUCCESS
EP Benchmark,D,27.66,64,64,4968.18,77.63,us-east-1a,c6i.16xlarge,2024-06-14 09:38:35.254513,2.7200000000,1.324800,SUCCESS
EP Benchmark,D,28.75,64,64,4780.53,74.70,us-east-1a,c5a.16xlarge,2024-06-14 09:40:32.792032,2.4640000000,1.290100,SUCCESS
EP Benchmark,D,28.80,64,64,4772.10,74.56,us-east-1a,c5a.16xlarge,2024-06-14 09:41:03.064119,2.4640000000,1.290100,SUCCESS
EP Benchmark,D,29.72,64,64,4624.84,72.26,us-east-1a,c5a.16xlarge,2024-06-14 09:41:34.300541,2.4640000000,1.290100,SUCCESS
EP Benchmark,D,29.73,64,64,4623.46,72.24,us-east-1a,c5a.16xlarge,2024-06-14 09:42:05.541004,2.4640000000,1.290100,SUCCESS
EP Benchmark,D,29.72,64,64,4624.61,72.26,us-east-1a,c5a.16xlarge,2024-06-14 09:42:36.913941,2.4640000000,1.290100,SUCCESS
EP Benchmark,,,,,,,us-east-1a,c7a.16xlarge,2024-06-14 09:43:39.177118,,,
EP Benchmark,,,,,,,us-east-1a,c7i.16xlarge,2024-06-14 09:43:50.840570,,,
EP Benchmark,D,26.96,64,64,5097.75,79.65,us-east-1a,c6a.16xlarge,2024-06-14 09:44:42.853565,2.4480000000,1.174200,SUCCESS
EP Benchmark,D,26.46,64,64,5193.73,81.15,us-east-1a,c6a.16xlarge,2024-06-14 09:45:10.960787,2.4480000000,1.174200,SUCCESS
EP Benchmark,D,26.36,64,64,5214.54,81.48,us-east-1a,c6a.16xlarge,2024-06-14 09:45:38.953009,2.4480000000,1.174200,SUCCESS
EP Benchmark,D,26.25,64,64,5236.68,81.82,us-east-1a,c6a.16xlarge,2024-06-14 09:46:06.846509,2.4480000000,1.174200,SUCCESS
EP Benchmark,D,26.40,64,64,5205.58,81.34,us-east-1a,c6a.16xlarge,2024-06-14 09:46:34.759290,2.4480000000,1.174200,SUCCESS
